text,gender
I love watching football.,male
Watching the game with friends.,male
Can't stop reading this novel.,female
Coding late into the night.,male
Just baked some cupcakes.,female
Driving to the mountains.,male
Doing yoga this morning.,female
Just got a haircut.,male
Planning a girls' night out.,female
Can't stop reading this novel.,female
Driving to the mountains.,male
Building a new PC today!,male
Playing video games.,male
Trying out a new recipe.,female
Painting nails and chilling.,female
Painting nails and chilling.,female
Going to the gym.,male
Enjoying action movies.,male
Just fixed my bike.,male
Going to the gym.,male
Trying out a new recipe.,female
Trying out a new recipe.,female
Just got a haircut.,male
Building a new PC today!,male
Planning a girls' night out.,female
Just fixed my bike.,male
Watching romantic comedies.,female
Enjoying a spa day.,female
Doing yoga this morning.,female
Enjoying a spa day.,female
Playing video games.,male
Driving to the mountains.,male
Can't stop reading this novel.,female
Driving to the mountains.,male
Enjoying a spa day.,female
Watching the game with friends.,male
Just baked some cupcakes.,female
Watching the game with friends.,male
Building a new PC today!,male
Loving this new lipstick shade!,female
Watching romantic comedies.,female
Going to the gym.,male
I love watching football.,male
Building a new PC today!,male
Just fixed my bike.,male
Playing video games.,male
Just got a haircut.,male
Just got a haircut.,male
Driving to the mountains.,male
Just baked some cupcakes.,female
Just got a haircut.,male
Going to the gym.,male
Watching romantic comedies.,female
Coding late into the night.,male
Trying out a new recipe.,female
Playing video games.,male
Going to the gym.,male
Enjoying a spa day.,female
Can't stop reading this novel.,female
Building a new PC today!,male
Shopping with my besties.,female
Enjoying action movies.,male
Going to the gym.,male
Playing video games.,male
Painting nails and chilling.,female
Playing video games.,male
Driving to the mountains.,male
Playing video games.,male
Enjoying a spa day.,female
Doing yoga this morning.,female
Planning a girls' night out.,female
Building a new PC today!,male
Doing yoga this morning.,female
Watching romantic comedies.,female
Enjoying a spa day.,female
Playing video games.,male
Going to the gym.,male
Enjoying a spa day.,female
Loving this new lipstick shade!,female
Just baked some cupcakes.,female
Going to the gym.,male
Planning a girls' night out.,female
Painting nails and chilling.,female
Planning a girls' night out.,female
Loving this new lipstick shade!,female
Going to the gym.,male
Trying out a new recipe.,female
Building a new PC today!,male
Enjoying a spa day.,female
Going to the gym.,male
Enjoying action movies.,male
I love watching football.,male
Building a new PC today!,male
Doing yoga this morning.,female
Just baked some cupcakes.,female
Watching romantic comedies.,female
Going to the gym.,male
Painting nails and chilling.,female
Playing video games.,male
Watching romantic comedies.,female
Enjoying action movies.,male
Enjoying a spa day.,female
Trying out a new recipe.,female
Building a new PC today!,male
Just got a haircut.,male
Enjoying a spa day.,female
Enjoying action movies.,male
Enjoying a spa day.,female
Going to the gym.,male
Doing yoga this morning.,female
Just baked some cupcakes.,female
Shopping with my besties.,female
Can't stop reading this novel.,female
Painting nails and chilling.,female
Can't stop reading this novel.,female
Loving this new lipstick shade!,female
Can't stop reading this novel.,female
Just got a haircut.,male
Trying out a new recipe.,female
I love watching football.,male
Loving this new lipstick shade!,female
Just got a haircut.,male
Just fixed my bike.,male
Just got a haircut.,male
Trying out a new recipe.,female
Enjoying a spa day.,female
Enjoying a spa day.,female
Just baked some cupcakes.,female
Building a new PC today!,male
Just got a haircut.,male
Coding late into the night.,male
I love watching football.,male
I love watching football.,male
Painting nails and chilling.,female
Just fixed my bike.,male
Enjoying a spa day.,female
Building a new PC today!,male
Can't stop reading this novel.,female
Painting nails and chilling.,female
Building a new PC today!,male
Doing yoga this morning.,female
Doing yoga this morning.,female
Going to the gym.,male
Just baked some cupcakes.,female
Doing yoga this morning.,female
Watching romantic comedies.,female
Just got a haircut.,male
Can't stop reading this novel.,female
Trying out a new recipe.,female
Just got a haircut.,male
I love watching football.,male
Doing yoga this morning.,female
Painting nails and chilling.,female
Watching the game with friends.,male
Coding late into the night.,male
Watching romantic comedies.,female
Playing video games.,male
Trying out a new recipe.,female
Going to the gym.,male
Going to the gym.,male
I love watching football.,male
Doing yoga this morning.,female
I love watching football.,male
Can't stop reading this novel.,female
Enjoying a spa day.,female
